name,email,invoice_number,price
Ahmad Pratama,ahmad@example.com,Ahmad Pratama/inv/1/2026,2500000
Ahmad Pratama,ahmad@example.com,Ahmad Pratama/inv/2/2026,1750000
Budi Santoso,budi@example.com,Budi Santoso/inv/1/2026,3200000
Budi Santoso,budi@example.com,Budi Santoso/inv/2/2026,2100000
Budi Santoso,budi@example.com,Budi Santoso/inv/3/2026,1800000
Citra Lestari,citra@example.com,Citra Lestari/inv/1/2026,4500000
Dewi Wijaya,dewi@example.com,Dewi Wijaya/inv/1/2026,1500000
Dewi Wijaya,dewi@example.com,Dewi Wijaya/inv/2/2026,2800000
Eko Prasetyo,eko@example.com,Eko Prasetyo/inv/1/2026,5200000
Fani Rahma,fani@example.com,Fani Rahma/inv/1/2026,950000
Gita Permata,gita@example.com,Gita Permata/inv/1/2026,3800000
Gita Permata,gita@example.com,Gita Permata/inv/2/2026,1200000
Hendro Wibowo,hendro@example.com,Hendro Wibowo/inv/1/2026,2100000
Indah Sari,indah@example.com,Indah Sari/inv/1/2026,3400000
Indah Sari,indah@example.com,Indah Sari/inv/2/2026,1900000
Indah Sari,indah@example.com,Indah Sari/inv/3/2026,2700000
Joko Susilo,joko@example.com,Joko Susilo/inv/1/2026,4200000
Kartika Ningrum,kartika@example.com,Kartika Ningrum/inv/1/2026,2850000
Lina Marlina,lina@example.com,Lina Marlina/inv/1/2026,1650000
Lina Marlina,lina@example.com,Lina Marlina/inv/2/2026,2350000
Muhammad Fikri,muhammad@example.com,Muhammad Fikri/inv/1/2026,5100000
Nita Purnama,nita@example.com,Nita Purnama/inv/1/2026,1450000
Oscar Setiawan,oscar@example.com,Oscar Setiawan/inv/1/2026,3600000
Putri Ayu,putri@example.com,Putri Ayu/inv/1/2026,2250000
Rina Kusuma,rina@example.com,Rina Kusuma/inv/1/2026,3100000
Rina Kusuma,rina@example.com,Rina Kusuma/inv/2/2026,1950000
Satria Buana,satria@example.com,Satria Buana/inv/1/2026,4750000
Sri Wahyuni,sri@example.com,Sri Wahyuni/inv/1/2026,2750000
Taufik Hidayat,taufik@example.com,Taufik Hidayat/inv/1/2026,3900000
Taufik Hidayat,taufik@example.com,Taufik Hidayat/inv/2/2026,1550000
Utami Sari,utami@example.com,Utami Sari/inv/1/2026,2050000
Vicky Prasetyo,vicky@example.com,Vicky Prasetyo/inv/1/2026,5400000
Wulan Indah,wulan@example.com,Wulan Indah/inv/1/2026,1850000
Wulan Indah,wulan@example.com,Wulan Indah/inv/2/2026,3200000
Yoga Pratama,yoga@example.com,Yoga Pratama/inv/1/2026,4300000
Zahra Aulia,zahra@example.com,Zahra Aulia/inv/1/2026,2600000
